Mouse.Gene,Human.Gene,Uniprot ID,Protein Name,Protein Description,TurboID avg abundance,tdT avg abundance,Differentially Expressed?,logFC (TurboID vs. tdT),P.Value (TurboID vs. tdT),adj.P.Value (TurboID vs. tdT)
Ppp1r12a,PPP1R12A,Q9DBR7,MYPT1_MOUSE,Protein phosphatase 1 regulatory subunit 12A,9299,6586,TurboID enriched,0.51,0.004976,0.026520
Cep97,CEP97,Q9CZ62,CEP97_MOUSE,Centrosomal protein of 97 kDa,2995,1231,TurboID enriched,8.12,0.004981,0.026520
Pygm,PYGM,Q9WUB3,PYGM_MOUSE,"Glycogen phosphorylase, muscle form",46936,31336,TurboID enriched,0.60,0.004983,0.026520
Nudt12,NUDT12,Q9DCN1,NUD12_MOUSE,NAD-capped RNA hydrolase NUDT12,7504,2565,TurboID enriched,9.01,0.005000,0.026520
Gigyf1,GIGYF1,Q99MR1,GGYF1_MOUSE,GRB10-interacting GYF protein 1,3431,1404,TurboID enriched,8.26,0.005002,0.026520
Slc25a19,SLC25A19,Q9DAM5,TPC_MOUSE,Mitochondrial thiamine pyrophosphate carrier,4881,2645,TurboID enriched,0.96,0.005003,0.026520
Pik3c3,PIK3C3,Q6PF93,PK3C3_MOUSE,Phosphatidylinositol 3-kinase catalytic subunit type 3,5597,4152,TurboID enriched,0.44,0.005004,0.026520
Tmem177,TMEM177,Q8BPE4,TM177_MOUSE,Transmembrane protein 177,6817,4059,TurboID enriched,0.78,0.005005,0.026520
Mpp1,MPP1,P70290,EM55_MOUSE,55 kDa erythrocyte membrane protein,6405,3220,TurboID enriched,0.98,0.005024,0.026558
Dad1,DAD1,P61804,DAD1_MOUSE,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1,27885,17858,TurboID enriched,0.65,0.005040,0.026614
Ephb2,EPHB2,P54763,EPHB2_MOUSE,Ephrin type-B receptor 2,6010,4007,TurboID enriched,0.59,0.005066,0.026720
Hnrnpll,HNRNPLL,Q921F4,HNRLL_MOUSE,Heterogeneous nuclear ribonucleoprotein L-like,23515,17046,TurboID enriched,0.46,0.005087,0.026802
Tmcc1,TMCC1,Q69ZZ6,TMCC1_MOUSE,Transmembrane and coiled-coil domains protein 1,5015,1930,TurboID enriched,8.62,0.005093,0.026802
Trim56,TRIM56,Q80VI1,TRI56_MOUSE,E3 ubiquitin-protein ligase TRIM56,4783,1900,TurboID enriched,8.58,0.005099,0.026802
Pik3cb,PIK3CB,Q8BTI9,PK3CB_MOUSE,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",2799,1704,TurboID enriched,0.75,0.005127,0.026890
Sh2d5,SH2D5,Q8JZW5,SH2D5_MOUSE,SH2 domain-containing protein 5,11537,7987,TurboID enriched,0.52,0.005168,0.027037
Bet1,BET1,O35623,BET1_MOUSE,BET1 homolog,1549,635,TurboID enriched,7.41,0.005173,0.027037
Adcy2,ADCY2,Q80TL1,ADCY2_MOUSE,Adenylate cyclase type 2,8867,6262,TurboID enriched,0.52,0.005178,0.027037
Gabrd,GABRD,P22933,GBRD_MOUSE,Gamma-aminobutyric acid receptor subunit delta,5324,3571,TurboID enriched,0.60,0.005205,0.027149
Eef1akmt1,EEF1AKMT1,Q9CY45,EFMT1_MOUSE,EEF1A lysine methyltransferase 1,3099,1280,TurboID enriched,8.12,0.005234,0.027222
Eif3h,EIF3H,Q91WK2,EIF3H_MOUSE,Eukaryotic translation initiation factor 3 subunit H,24387,17600,TurboID enriched,0.49,0.005237,0.027222
Abraxas2,ABRAXAS2,Q3TCJ1,ABRX2_MOUSE,BRISC complex subunit Abraxas 2,3705,2292,TurboID enriched,0.72,0.005248,0.027248
Arhgef40,ARHGEF40,Q3UPH7,ARH40_MOUSE,Rho guanine nucleotide exchange factor 40,3173,1334,TurboID enriched,8.14,0.005262,0.027293
Dhrs13,DHRS13,Q5SS80,DHR13_MOUSE,Dehydrogenase/reductase SDR family member 13,2485,1471,TurboID enriched,0.75,0.005277,0.027304
Nf2,NF2,P46662,MERL_MOUSE,Merlin,14522,4665,TurboID enriched,9.63,0.005278,0.027304
Padi2,PADI2,Q08642,PADI2_MOUSE,Protein-arginine deiminase type-2,15513,10627,TurboID enriched,0.55,0.005282,0.027304
Bri3bp,BRI3BP,Q8BXV2,BRI3B_MOUSE,BRI3-binding protein,16771,8814,TurboID enriched,0.94,0.005297,0.027329
Eml1,EML1,Q05BC3,EMAL1_MOUSE,Echinoderm microtubule-associated protein-like 1,15187,10269,TurboID enriched,0.58,0.005298,0.027329
Irs2,IRS2,P81122,IRS2_MOUSE,Insulin receptor substrate 2,4995,1876,TurboID enriched,8.57,0.005325,0.027390
Clic1,CLIC1,Q9Z1Q5,CLIC1_MOUSE,Chloride intracellular channel protein 1,6567,3615,TurboID enriched,0.89,0.005337,0.027390
Cpne3,CPNE3,Q8BT60,CPNE3_MOUSE,Copine-3,9827,6126,TurboID enriched,0.70,0.005338,0.027390
Emd,EMD,O08579,EMD_MOUSE,Emerin,10353,3648,TurboID enriched,9.30,0.005342,0.027390
Mtnd3,NA,P03899,NU3M_MOUSE,NADH-ubiquinone oxidoreductase chain 3,31296,11727,TurboID enriched,1.67,0.005345,0.027390
Sdhd,SDHD,Q9CXV1,DHSD_MOUSE,"Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial",20450,13324,TurboID enriched,0.64,0.005369,0.027479
Otud4,OTUD4,B2RRE7,OTUD4_MOUSE,OTU domain-containing protein 4,4377,1832,TurboID enriched,8.46,0.005388,0.027498
Aifm3,AIFM3,Q3TY86,AIFM3_MOUSE,Apoptosis-inducing factor 3,12976,9110,TurboID enriched,0.52,0.005390,0.027498
Gabra1,GABRA1,P62812,GBRA1_MOUSE,Gamma-aminobutyric acid receptor subunit alpha-1,117055,79421,TurboID enriched,0.56,0.005390,0.027498
Ddx3y,DDX3Y,Q62095,DDX3Y_MOUSE,ATP-dependent RNA helicase DDX3Y,8208,2732,TurboID enriched,1.45,0.005401,0.027521
Eif3l,EIF3L,Q8QZY1,EIF3L_MOUSE,Eukaryotic translation initiation factor 3 subunit L,28965,20474,TurboID enriched,0.51,0.005409,0.027521
Map1b,MAP1B,P14873,MAP1B_MOUSE,Microtubule-associated protein 1B,65350,43020,TurboID enriched,0.59,0.005418,0.027521
Gtf3c5,GTF3C5,Q8R2T8,TF3C5_MOUSE,General transcription factor 3C polypeptide 5,2159,928,TurboID enriched,7.73,0.005418,0.027521
Clptm1,CLPTM1,Q8VBZ3,CLPT1_MOUSE,Cleft lip and palate transmembrane protein 1 homolog,19700,13936,TurboID enriched,0.52,0.005438,0.027594
Slc8a1,SLC8A1,P70414,NAC1_MOUSE,Sodium/calcium exchanger 1,53661,38868,TurboID enriched,0.48,0.005457,0.027642
Sema4c,SEMA4C,Q64151,SEM4C_MOUSE,Semaphorin-4C,1551,740,TurboID enriched,7.41,0.005466,0.027642
Rps24,RPS24,P62849,RS24_MOUSE,40S ribosomal protein S24,7230,4715,TurboID enriched,0.63,0.005491,0.027723
Pals1,NA,Q9JLB2,PALS1_MOUSE,Protein PALS1,10787,4288,TurboID enriched,9.37,0.005493,0.027723
Usp15,USP15,Q8R5H1,UBP15_MOUSE,Ubiquitin carboxyl-terminal hydrolase 15,13916,9839,TurboID enriched,0.52,0.005547,0.027882
Neto2,NETO2,Q8BNJ6,NETO2_MOUSE,Neuropilin and tolloid-like protein 2,3854,1670,TurboID enriched,8.32,0.005549,0.027882
Alg5,ALG5,Q9DB25,ALG5_MOUSE,Dolichyl-phosphate beta-glucosyltransferase,4490,2945,TurboID enriched,0.62,0.005588,0.028045
Dmwd,DMWD,Q08274,DMWD_MOUSE,Dystrophia myotonica WD repeat-containing protein,8546,6099,TurboID enriched,0.50,0.005595,0.028045
Afdn,AFDN,Q9QZQ1,AFAD_MOUSE,Afadin,40429,30037,TurboID enriched,0.42,0.005603,0.028045
Pde8a,PDE8A,O88502,PDE8A_MOUSE,"High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8A",1443,669,TurboID enriched,7.31,0.005605,0.028045
Ppp4c,PPP4C,P97470,PP4C_MOUSE,Serine/threonine-protein phosphatase 4 catalytic subunit,3784,1636,TurboID enriched,8.29,0.005624,0.028049
Gprc5b,GPRC5B,Q923Z0,GPC5B_MOUSE,G-protein coupled receptor family C group 5 member B,14233,8177,TurboID enriched,0.86,0.005627,0.028049
Bace1,BACE1,P56818,BACE1_MOUSE,Beta-secretase 1,3581,1631,TurboID enriched,8.25,0.005630,0.028049
Slc5a3,SLC5A3,Q9JKZ2,SC5A3_MOUSE,Sodium/myo-inositol cotransporter,6365,2700,TurboID enriched,8.82,0.005631,0.028049
Dpp8,DPP8,Q80YA7,DPP8_MOUSE,Dipeptidyl peptidase 8,9598,6467,TurboID enriched,0.59,0.005636,0.028049
Daam1,DAAM1,Q8BPM0,DAAM1_MOUSE,Disheveled-associated activator of morphogenesis 1,4471,3095,TurboID enriched,0.52,0.005652,0.028099
Rpp30,RPP30,O88796,RPP30_MOUSE,Ribonuclease P protein subunit p30,2947,1364,TurboID enriched,8.04,0.005667,0.028121
Grk2,GRK2,Q99MK8,ARBK1_MOUSE,Beta-adrenergic receptor kinase 1,33251,20756,TurboID enriched,0.68,0.005674,0.028121
Slitrk2,SLITRK2,Q810C0,SLIK2_MOUSE,SLIT and NTRK-like protein 2,58174,19621,TurboID enriched,11.03,0.005675,0.028121
Kcnj6,KCNJ6,P48542,KCNJ6_MOUSE,G protein-activated inward rectifier potassium channel 2,12445,7782,TurboID enriched,0.65,0.005703,0.028231
Elp3,ELP3,Q9CZX0,ELP3_MOUSE,Elongator complex protein 3,9246,6383,TurboID enriched,0.56,0.005747,0.028397
Pam,PAM,P97467,AMD_MOUSE,Peptidyl-glycine alpha-amidating monooxygenase,12705,8715,TurboID enriched,0.57,0.005755,0.028397
Stam,STAM,P70297,STAM1_MOUSE,Signal transducing adapter molecule 1,11030,5966,TurboID enriched,0.84,0.005761,0.028397
Stam2,STAM2,O88811,STAM2_MOUSE,Signal transducing adapter molecule 2,3040,1383,TurboID enriched,8.05,0.005770,0.028413
Trpv2,TRPV2,Q9WTR1,TRPV2_MOUSE,Transient receptor potential cation channel subfamily V member 2,8115,5300,TurboID enriched,0.63,0.005794,0.028469
Kiaa1107,NA,Q80TK0,K1107_MOUSE,AP2-interacting clathrin-endocytosis protein,8344,5737,TurboID enriched,0.55,0.005805,0.028492
Krit1,KRIT1,Q6S5J6,KRIT1_MOUSE,Krev interaction trapped protein 1,1766,866,TurboID enriched,7.51,0.005827,0.028530
Babam2,BABAM2,Q8K3W0,BABA2_MOUSE,BRISC and BRCA1-A complex member 2,7072,4216,TurboID enriched,0.75,0.005831,0.028530
Spcs1,SPCS1,Q9D958,SPCS1_MOUSE,Signal peptidase complex subunit 1,20972,11089,TurboID enriched,0.95,0.005911,0.028841
Slc29a2,SLC29A2,Q61672,S29A2_MOUSE,Equilibrative nucleoside transporter 2,5763,3339,TurboID enriched,0.83,0.005912,0.028841
Iqsec3,IQSEC3,Q3TES0,IQEC3_MOUSE,IQ motif and SEC7 domain-containing protein 3,5480,4169,TurboID enriched,0.40,0.005925,0.028870
Gabra2,GABRA2,P26048,GBRA2_MOUSE,Gamma-aminobutyric acid receptor subunit alpha-2,4346,2044,TurboID enriched,8.41,0.005940,0.028915
Vps8,VPS8,Q0P5W1,VPS8_MOUSE,Vacuolar protein sorting-associated protein 8 homolog,8262,4867,TurboID enriched,0.82,0.005953,0.028945
Sf3b3,SF3B3,Q921M3,SF3B3_MOUSE,Splicing factor 3B subunit 3,23460,16021,TurboID enriched,0.56,0.005960,0.028949
Pard3,PARD3,Q99NH2,PARD3_MOUSE,Partitioning defective 3 homolog,2620,1272,TurboID enriched,7.90,0.005967,0.028949
Kdsr,KDSR,Q6GV12,KDSR_MOUSE,3-ketodihydrosphingosine reductase,12873,9039,TurboID enriched,0.52,0.005972,0.028949
Prrc1,PRRC1,Q3UPH1,PRRC1_MOUSE,Protein PRRC1,2378,1181,TurboID enriched,7.80,0.006034,0.029189
Smox,SMOX,Q99K82,SMOX_MOUSE,Spermine oxidase,11748,5061,TurboID enriched,9.39,0.006077,0.029366
Pkn2,PKN2,Q8BWW9,PKN2_MOUSE,Serine/threonine-protein kinase N2,13667,5522,TurboID enriched,9.52,0.006088,0.029381
Gabbr1,GABBR1,Q9WV18,GABR1_MOUSE,Gamma-aminobutyric acid type B receptor subunit 1,83073,54938,TurboID enriched,0.63,0.006093,0.029381
Cyp4f14,CYP4F12,Q9EP75,CP4FE_MOUSE,Leukotriene-B4 omega-hydroxylase 3,6582,2904,TurboID enriched,8.80,0.006104,0.029407
Vps4b,VPS4B,P46467,VPS4B_MOUSE,Vacuolar protein sorting-associated protein 4B,5289,2407,TurboID enriched,8.58,0.006121,0.029458
Acot11,ACOT11,Q8VHQ9,ACO11_MOUSE,Acyl-coenzyme A thioesterase 11,17965,13031,TurboID enriched,0.47,0.006144,0.029477
Ssh2,SSH2,Q5SW75,SSH2_MOUSE,Protein phosphatase Slingshot homolog 2,3619,1794,TurboID enriched,8.21,0.006151,0.029477
Pex3,PEX3,Q9QXY9,PEX3_MOUSE,Peroxisomal biogenesis factor 3,5535,2596,TurboID enriched,8.63,0.006159,0.029488
Tmem43,TMEM43,Q9DBS1,TMM43_MOUSE,Transmembrane protein 43,6749,4394,TurboID enriched,0.60,0.006183,0.029574
Nrbf2,NRBF2,Q8VCQ3,NRBF2_MOUSE,Nuclear receptor-binding factor 2,4485,2023,TurboID enriched,8.39,0.006198,0.029592
Sec11c,SEC11C,Q9D8V7,SC11C_MOUSE,Signal peptidase complex catalytic subunit SEC11C,3832,1890,TurboID enriched,8.27,0.006200,0.029592
Sema4a,SEMA4A,Q62178,SEM4A_MOUSE,Semaphorin-4A,15304,11419,TurboID enriched,0.42,0.006211,0.029617
Ttc27,TTC27,Q8CD92,TTC27_MOUSE,Tetratricopeptide repeat protein 27,1679,866,TurboID enriched,7.43,0.006230,0.029650
Slc35g2,SLC35G2,D3YVE8,S35G2_MOUSE,Solute carrier family 35 member G2,4650,2245,TurboID enriched,8.45,0.006231,0.029650
Rhof,RHOF,Q8BYP3,RHOF_MOUSE,Rho-related GTP-binding protein RhoF,8070,4961,TurboID enriched,0.73,0.006284,0.029782
Palm,PALM,Q9Z0P4,PALM_MOUSE,Paralemmin-1,104546,42500,TurboID enriched,1.27,0.006327,0.029954
Daglb,DAGLB,Q91WC9,DGLB_MOUSE,Diacylglycerol lipase-beta,4535,2833,TurboID enriched,0.71,0.006388,0.030210
Slc24a4,SLC24A4,Q8CGQ8,NCKX4_MOUSE,Sodium/potassium/calcium exchanger 4,26063,17296,TurboID enriched,0.61,0.006405,0.030210
Traf7,TRAF7,Q922B6,TRAF7_MOUSE,E3 ubiquitin-protein ligase TRAF7,1189,662,TurboID enriched,7.08,0.006419,0.030210
Exoc8,EXOC8,Q6PGF7,EXOC8_MOUSE,Exocyst complex component 8,13878,9742,TurboID enriched,0.50,0.006420,0.030210
Mink1,MINK1,Q9JM52,MINK1_MOUSE,Misshapen-like kinase 1,35562,25859,TurboID enriched,0.47,0.006423,0.030210
Ube2q1,UBE2Q1,Q7TSS2,UB2Q1_MOUSE,Ubiquitin-conjugating enzyme E2 Q1,4095,2498,TurboID enriched,0.76,0.006435,0.030210
Ipo7,IPO7,Q9EPL8,IPO7_MOUSE,Importin-7,32680,17252,TurboID enriched,0.92,0.006441,0.030210
Psd3,PSD3,Q2PFD7,PSD3_MOUSE,PH and SEC7 domain-containing protein 3,29632,21131,TurboID enriched,0.49,0.006446,0.030210
Fads3,FADS3,Q9JJE7,FADS3_MOUSE,Fatty acid desaturase 3,2385,1230,TurboID enriched,7.76,0.006446,0.030210
Slc25a33,SLC25A33,Q3TZX3,S2533_MOUSE,Solute carrier family 25 member 33,2593,1363,TurboID enriched,7.85,0.006468,0.030277
Dgkz,DGKZ,Q80UP3,DGKZ_MOUSE,Diacylglycerol kinase zeta,13152,9759,TurboID enriched,0.44,0.006480,0.030277
Slc27a2,SLC27A2,O35488,S27A2_MOUSE,Very long-chain acyl-CoA synthetase,1704,944,TurboID enriched,7.44,0.006484,0.030277
Ddx6,DDX6,P54823,DDX6_MOUSE,Probable ATP-dependent RNA helicase DDX6,33205,23495,TurboID enriched,0.50,0.006489,0.030277
Uhrf1bp1l,UHRF1BP1L,A2RSJ4,UH1BL_MOUSE,UHRF1-binding protein 1-like,5665,3759,TurboID enriched,0.62,0.006496,0.030277
Wipi2,WIPI2,Q80W47,WIPI2_MOUSE,WD repeat domain phosphoinositide-interacting protein 2,19672,13034,TurboID enriched,0.62,0.006509,0.030277
Lpgat1,LPGAT1,Q91YX5,LGAT1_MOUSE,Acyl-CoA:lysophosphatidylglycerol acyltransferase 1,14678,9877,TurboID enriched,0.60,0.006512,0.030277
Bmpr1a,BMPR1A,P36895,BMR1A_MOUSE,Bone morphogenetic protein receptor type-1A,1955,1057,TurboID enriched,7.57,0.006512,0.030277
Mvb12b,MVB12B,Q6KAU4,MB12B_MOUSE,Multivesicular body subunit 12B,5538,2711,TurboID enriched,1.08,0.006561,0.030326
Mob2,MOB2,Q8VI63,MOB2_MOUSE,MOB kinase activator 2,2292,1224,TurboID enriched,7.72,0.006568,0.030326
Arhgef9,ARHGEF9,Q3UTH8,ARHG9_MOUSE,Rho guanine nucleotide exchange factor 9,7019,4873,TurboID enriched,0.52,0.006578,0.030326
Sppl2b,SPPL2B,Q3TD49,SPP2B_MOUSE,Signal peptide peptidase-like 2B,1397,722,TurboID enriched,7.21,0.006586,0.030326
Twf1,TWF1,Q91YR1,TWF1_MOUSE,Twinfilin-1,45643,29112,TurboID enriched,0.64,0.006595,0.030326
Prmt9,PRMT9,Q3U3W5,ANM9_MOUSE,Protein arginine N-methyltransferase 9,3513,1873,TurboID enriched,8.15,0.006610,0.030326
Ankrd13d,ANKRD13D,Q6PD24,AN13D_MOUSE,Ankyrin repeat domain-containing protein 13D,2059,1141,TurboID enriched,7.62,0.006614,0.030326
Fam102a,FAM102A,Q78T81,F102A_MOUSE,Protein FAM102A,1416,800,TurboID enriched,7.24,0.006621,0.030326
Dnajc16,DNAJC16,Q80TN4,DJC16_MOUSE,DnaJ homolog subfamily C member 16,6180,3888,TurboID enriched,0.70,0.006625,0.030326
Ppm1e,PPM1E,Q80TL0,PPM1E_MOUSE,Protein phosphatase 1E,48376,29400,TurboID enriched,0.77,0.006638,0.030326
Dgke,DGKE,Q9R1C6,DGKE_MOUSE,Diacylglycerol kinase epsilon,19977,12849,TurboID enriched,0.68,0.006639,0.030326
Wdr91,WDR91,Q7TMQ7,WDR91_MOUSE,WD repeat-containing protein 91,5454,3123,TurboID enriched,0.79,0.006640,0.030326
Ptpra,PTPRA,P18052,PTPRA_MOUSE,Receptor-type tyrosine-protein phosphatase alpha,25987,18739,TurboID enriched,0.48,0.006641,0.030326
Wdsub1,WDSUB1,Q9D0I6,WSDU1_MOUSE,"WD repeat, SAM and U-box domain-containing protein 1",1316,747,TurboID enriched,7.16,0.006645,0.030326
Hbs1l,HBS1L,Q69ZS7,HBS1L_MOUSE,HBS1-like protein,3638,2313,TurboID enriched,0.68,0.006651,0.030326
Tigar,TIGAR,Q8BZA9,TIGAR_MOUSE,"Fructose-2,6-bisphosphatase TIGAR",13830,4985,TurboID enriched,1.44,0.006653,0.030326
Il6st,IL6ST,Q00560,IL6RB_MOUSE,Interleukin-6 receptor subunit beta,3757,1962,TurboID enriched,8.21,0.006661,0.030326
Trappc10,TRAPPC10,Q3TLI0,TPC10_MOUSE,Trafficking protein particle complex subunit 10,9210,5937,TurboID enriched,0.67,0.006673,0.030326
Tm9sf4,TM9SF4,Q8BH24,TM9S4_MOUSE,Transmembrane 9 superfamily member 4,10266,7222,TurboID enriched,0.50,0.006680,0.030326
Pnp,PNP,P23492,PNPH_MOUSE,Purine nucleoside phosphorylase,10825,8280,TurboID enriched,0.39,0.006681,0.030326
Adrbk2,NA,Q3UYH7,ARBK2_MOUSE,Beta-adrenergic receptor kinase 2,9621,6236,TurboID enriched,0.63,0.006689,0.030326
Lss,LSS,Q8BLN5,LSS_MOUSE,Lanosterol synthase,1426,791,TurboID enriched,7.23,0.006695,0.030326
Slc17a7,SLC17A7,Q3TXX4,VGLU1_MOUSE,Vesicular glutamate transporter 1,547245,405520,TurboID enriched,0.44,0.006697,0.030326
Smarcd3,SMARCD3,Q6P9Z1,SMRD3_MOUSE,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 3,2815,1535,TurboID enriched,7.92,0.006698,0.030326
Sft2d2,SFT2D2,Q8VD57,SFT2B_MOUSE,Vesicle transport protein SFT2B,2955,1577,TurboID enriched,7.96,0.006713,0.030362
Ubiad1,UBIAD1,Q9DC60,UBIA1_MOUSE,UbiA prenyltransferase domain-containing protein 1,2775,1526,TurboID enriched,7.91,0.006727,0.030398
Rpl6,RPL6,P47911,RL6_MOUSE,60S ribosomal protein L6,78125,56490,TurboID enriched,0.47,0.006748,0.030456
Arhgap17,ARHGAP17,Q3UIA2,RHG17_MOUSE,Rho GTPase-activating protein 17,2516,1375,TurboID enriched,7.80,0.006757,0.030456
Pgghg,PGGHG,Q8BP56,PGGHG_MOUSE,Protein-glucosylgalactosylhydroxylysine glucosidase,3551,1903,TurboID enriched,8.14,0.006759,0.030456
Atrn,ATRN,Q9WU60,ATRN_MOUSE,Attractin,6705,3732,TurboID enriched,0.92,0.006798,0.030601
Pum1,PUM1,Q80U78,PUM1_MOUSE,Pumilio homolog 1,5050,2522,TurboID enriched,1.09,0.006826,0.030668
Syp,SYP,Q62277,SYPH_MOUSE,Synaptophysin,758006,469785,TurboID enriched,0.72,0.006831,0.030668
Pfkp,PFKP,Q9WUA3,PFKAP_MOUSE,"ATP-dependent 6-phosphofructokinase, platelet type",148872,104260,TurboID enriched,0.54,0.006839,0.030668
Slc7a11,SLC7A11,Q9WTR6,XCT_MOUSE,Cystine/glutamate transporter,13449,7612,TurboID enriched,0.90,0.006839,0.030668
Dhx36,DHX36,Q8VHK9,DHX36_MOUSE,ATP-dependent DNA/RNA helicase DHX36,6232,4202,TurboID enriched,0.59,0.006851,0.030691
Vmp1,VMP1,Q99KU0,VMP1_MOUSE,Vacuole membrane protein 1,10389,4830,TurboID enriched,1.23,0.006876,0.030775
Tbpl1,TBPL1,P62340,TBPL1_MOUSE,TATA box-binding protein-like 1,1342,784,TurboID enriched,7.17,0.006886,0.030787
Tmem240,TMEM240,B2RWJ3,TM240_MOUSE,Transmembrane protein 240,3059,1674,TurboID enriched,0.89,0.006903,0.030809
Panx2,PANX2,Q6IMP4,PANX2_MOUSE,Pannexin-2,2173,1135,TurboID enriched,7.62,0.006915,0.030809
Prep,PREP,Q9QUR6,PPCE_MOUSE,Prolyl endopeptidase,23822,15997,TurboID enriched,0.60,0.006917,0.030809
Rab12,RAB12,P35283,RAB12_MOUSE,Ras-related protein Rab-12,24126,16526,TurboID enriched,0.56,0.006933,0.030850
Arl2,ARL2,Q9D0J4,ARL2_MOUSE,ADP-ribosylation factor-like protein 2,6154,3693,TurboID enriched,0.71,0.006940,0.030853
Ece1,ECE1,Q4PZA2,ECE1_MOUSE,Endothelin-converting enzyme 1,4681,2464,TurboID enriched,8.38,0.007031,0.031168
Uprt,UPRT,B1AVZ0,UPP_MOUSE,Uracil phosphoribosyltransferase homolog,3752,2028,TurboID enriched,8.17,0.007039,0.031173
Tacc2,TACC2,Q9JJG0,TACC2_MOUSE,Transforming acidic coiled-coil-containing protein 2,10044,5225,TurboID enriched,9.16,0.007055,0.031185
Tmem256,TMEM256,Q5F285,TM256_MOUSE,Transmembrane protein 256,6879,3668,TurboID enriched,8.78,0.007063,0.031185
Slc25a18,SLC25A18,Q9DB41,GHC2_MOUSE,Mitochondrial glutamate carrier 2,45439,30933,TurboID enriched,0.57,0.007125,0.031379
Fndc3a,FNDC3A,Q8BX90,FND3A_MOUSE,Fibronectin type-III domain-containing protein 3A,1534,916,TurboID enriched,7.28,0.007139,0.031408
Src,SRC,P05480,SRC_MOUSE,Neuronal proto-oncogene tyrosine-protein kinase Src,33574,21545,TurboID enriched,0.65,0.007152,0.031417
Tecpr1,TECPR1,Q80VP0,TCPR1_MOUSE,Tectonin beta-propeller repeat-containing protein 1,28065,19374,TurboID enriched,0.55,0.007154,0.031417
Prkcb,PRKCB,P68404,KPCB_MOUSE,Protein kinase C beta type,140094,99522,TurboID enriched,0.50,0.007187,0.031500
Slc39a10,SLC39A10,Q6P5F6,S39AA_MOUSE,Zinc transporter ZIP10,11066,8096,TurboID enriched,0.45,0.007207,0.031559
Lrig1,LRIG1,P70193,LRIG1_MOUSE,Leucine-rich repeats and immunoglobulin-like domains protein 1,10925,5711,TurboID enriched,9.22,0.007250,0.031683
Cnot2,CNOT2,Q8C5L3,CNOT2_MOUSE,CCR4-NOT transcription complex subunit 2,5028,2854,TurboID enriched,8.46,0.007254,0.031683
Palld,PALLD,Q9ET54,PALLD_MOUSE,Palladin,5731,3116,TurboID enriched,8.57,0.007256,0.031683
Madd,MADD,Q80U28,MADD_MOUSE,MAP kinase-activating death domain protein,32502,22969,TurboID enriched,0.52,0.007262,0.031683
Cyth1,CYTH1,Q9QX11,CYH1_MOUSE,Cytohesin-1,4815,2640,TurboID enriched,8.40,0.007291,0.031779
Adgra1,ADGRA1,Q8C4G9,AGRA1_MOUSE,Adhesion G protein-coupled receptor A1,14982,8892,TurboID enriched,0.81,0.007319,0.031860
Pik3r4,PIK3R4,Q8VD65,PI3R4_MOUSE,Phosphoinositide 3-kinase regulatory subunit 4,9362,7288,TurboID enriched,0.36,0.007323,0.031860
Rab8a,RAB8A,P55258,RAB8A_MOUSE,Ras-related protein Rab-8A,17194,10793,TurboID enriched,0.68,0.007342,0.031911
Tmem192,TMEM192,Q9CXT7,TM192_MOUSE,Transmembrane protein 192,2885,1691,TurboID enriched,7.89,0.007386,0.032031
Ldha,LDHA,P06151,LDHA_MOUSE,L-lactate dehydrogenase A chain,701735,468549,TurboID enriched,0.58,0.007387,0.032031
Hint3,HINT3,Q9CPS6,HINT3_MOUSE,Histidine triad nucleotide-binding protein 3,10272,5150,TurboID enriched,0.94,0.007417,0.032069
Ilrun,NA,Q3TT38,ILRUN_MOUSE,Protein ILRUN,4827,2387,TurboID enriched,8.34,0.007422,0.032069
Slc7a2,SLC7A2,P18581,CTR2_MOUSE,Cationic amino acid transporter 2,7617,4361,TurboID enriched,0.90,0.007480,0.032218
Notch2,NOTCH2,O35516,NOTC2_MOUSE,Neurogenic locus notch homolog protein 2,5239,3013,TurboID enriched,8.48,0.007482,0.032218
Itga7,ITGA7,Q61738,ITA7_MOUSE,Integrin alpha-7,4617,2753,TurboID enriched,8.36,0.007495,0.032245
Rrm2b,RRM2B,Q6PEE3,RIR2B_MOUSE,Ribonucleoside-diphosphate reductase subunit M2 B,2929,1770,TurboID enriched,7.90,0.007519,0.032302
Trpm1,TRPM1,Q2TV84,TRPM1_MOUSE,Transient receptor potential cation channel subfamily M member 1,3193,1893,TurboID enriched,7.98,0.007522,0.032302
Ppdpf,PPDPF,Q9CR37,PPDPF_MOUSE,Pancreatic progenitor cell differentiation and proliferation factor,4067,2300,TurboID enriched,8.21,0.007542,0.032320
Tspan15,TSPAN15,F7BWT7,TSN15_MOUSE,Tetraspanin-15,1995,1227,TurboID enriched,7.52,0.007547,0.032320
Fermt3,FERMT3,Q8K1B8,URP2_MOUSE,Fermitin family homolog 3,2842,1737,TurboID enriched,7.87,0.007573,0.032372
Slc25a14,SLC25A14,Q9Z2B2,UCP5_MOUSE,Brain mitochondrial carrier protein 1,4936,2619,TurboID enriched,8.38,0.007586,0.032398
