Mouse.Gene,Human.Gene,Uniprot ID,Protein Name,Protein Description,TurboID avg abundance,tdT avg abundance,Classification,logFC (TurboID vs. tdT),P.Value (TurboID vs. tdT),adj.P.Value (TurboID vs. tdT)
Gys1,GYS1,Q9Z1E4,GYS1_MOUSE,"Glycogen [starch] synthase, muscle",10920,NA,TurboID unique,NA,NA,NA
Mfn1,MFN1,Q811U4,MFN1_MOUSE,Mitofusin-1,10902,NA,TurboID unique,NA,NA,NA
Inpp4a,INPP4A,Q9EPW0,INP4A_MOUSE,Inositol polyphosphate-4-phosphatase type I A,10902,NA,TurboID unique,NA,NA,NA
Erbb4,ERBB4,Q61527,ERBB4_MOUSE,Receptor tyrosine-protein kinase erbB-4,10899,NA,TurboID unique,NA,NA,NA
Tmem132e,TMEM132E,Q6IEE6,T132E_MOUSE,Transmembrane protein 132E,10892,NA,TurboID unique,NA,NA,NA
Snx12,SNX12,O70493,SNX12_MOUSE,Sorting nexin-12,10886,NA,TurboID unique,NA,NA,NA
Disp2,DISP2,Q8CIP5,DISP2_MOUSE,Protein dispatched homolog 2,10885,NA,TurboID unique,NA,NA,NA
Tnrc6a,TNRC6A,Q3UHK8,TNR6A_MOUSE,Trinucleotide repeat-containing gene 6A protein,10884,NA,TurboID unique,NA,NA,NA
Vangl2,VANGL2,Q91ZD4,VANG2_MOUSE,Vang-like protein 2,10884,NA,TurboID unique,NA,NA,NA
Ndrg4,NDRG4,Q8BTG7,NDRG4_MOUSE,Protein NDRG4,10875,NA,TurboID unique,NA,NA,NA
Wdr6,WDR6,Q99ME2,WDR6_MOUSE,WD repeat-containing protein 6,10866,NA,TurboID unique,NA,NA,NA
Itgav,ITGAV,P43406,ITAV_MOUSE,Integrin alpha-V,10855,NA,TurboID unique,NA,NA,NA
Ampd2,AMPD2,Q9DBT5,AMPD2_MOUSE,AMP deaminase 2,10835,NA,TurboID unique,NA,NA,NA
Kcna5,KCNA5,Q61762,KCNA5_MOUSE,Potassium voltage-gated channel subfamily A member 5,10827,NA,TurboID unique,NA,NA,NA
Tom1,TOM1,O88746,TOM1_MOUSE,Target of Myb protein 1,10819,NA,TurboID unique,NA,NA,NA
Mfsd4a,MFSD4A,Q6PDC8,MFD4A_MOUSE,Major facilitator superfamily domain-containing protein 4A,10811,NA,TurboID unique,NA,NA,NA
Fam107a,FAM107A,Q78TU8,F107A_MOUSE,Actin-associated protein FAM107A,10783,NA,TurboID unique,NA,NA,NA
Ppp6r3,PPP6R3,Q922D4,PP6R3_MOUSE,Serine/threonine-protein phosphatase 6 regulatory subunit 3,10772,NA,TurboID unique,NA,NA,NA
Hsd11b1,HSD11B1,P50172,DHI1_MOUSE,Corticosteroid 11-beta-dehydrogenase isozyme 1,10768,NA,TurboID unique,NA,NA,NA
Rpl10,RPL10,Q6ZWV3,RL10_MOUSE,60S ribosomal protein L10,10768,NA,TurboID unique,NA,NA,NA
Xab2,XAB2,Q9DCD2,SYF1_MOUSE,Pre-mRNA-splicing factor SYF1,10750,NA,TurboID unique,NA,NA,NA
Scd2,NA,P13011,SCD2_MOUSE,Stearoyl-CoA desaturase 2,10745,NA,TurboID unique,NA,NA,NA
Fbxo6,FBXO6,Q9QZN4,FBX6_MOUSE,F-box only protein 6,10745,NA,TurboID unique,NA,NA,NA
Lrp1b,LRP1B,Q9JI18,LRP1B_MOUSE,Low-density lipoprotein receptor-related protein 1B,10727,NA,TurboID unique,NA,NA,NA
Efnb3,EFNB3,O35393,EFNB3_MOUSE,Ephrin-B3,10725,NA,TurboID unique,NA,NA,NA
Dennd4c,DENND4C,A6H8H2,DEN4C_MOUSE,DENN domain-containing protein 4C,10720,NA,TurboID unique,NA,NA,NA
Parl,PARL,Q5XJY4,PARL_MOUSE,"Presenilins-associated rhomboid-like protein, mitochondrial",10712,NA,TurboID unique,NA,NA,NA
Scrn1,SCRN1,Q9CZC8,SCRN1_MOUSE,Secernin-1,10700,NA,TurboID unique,NA,NA,NA
Ppp1r12c,PPP1R12C,Q3UMT1,PP12C_MOUSE,Protein phosphatase 1 regulatory subunit 12C,10693,NA,TurboID unique,NA,NA,NA
Nrp2,NRP2,O35375,NRP2_MOUSE,Neuropilin-2,10682,NA,TurboID unique,NA,NA,NA
Unc5a,UNC5A,Q8K1S4,UNC5A_MOUSE,Netrin receptor UNC5A,10681,NA,TurboID unique,NA,NA,NA
Crat,CRAT,P47934,CACP_MOUSE,Carnitine O-acetyltransferase,10676,NA,TurboID unique,NA,NA,NA
Agrn,AGRN,A2ASQ1,AGRIN_MOUSE,Agrin,10675,NA,TurboID unique,NA,NA,NA
Rapgef5,RAPGEF5,Q8C0Q9,RPGF5_MOUSE,Rap guanine nucleotide exchange factor 5,10672,NA,TurboID unique,NA,NA,NA
Myo1b,MYO1B,P46735,MYO1B_MOUSE,Unconventional myosin-Ib,10650,NA,TurboID unique,NA,NA,NA
Prrc2a,PRRC2A,Q7TSC1,PRC2A_MOUSE,Protein PRRC2A,10648,NA,TurboID unique,NA,NA,NA
Carmil1,CARMIL1,Q6EDY6,CARL1_MOUSE,F-actin-uncapping protein LRRC16A,10647,NA,TurboID unique,NA,NA,NA
Cers4,CERS4,Q9D6J1,CERS4_MOUSE,Ceramide synthase 4,10638,NA,TurboID unique,NA,NA,NA
Ptdss1,PTDSS1,Q99LH2,PTSS1_MOUSE,Phosphatidylserine synthase 1,10633,NA,TurboID unique,NA,NA,NA
Pcdhga4,PCDHGA4,Q91XY4,PCDG4_MOUSE,Protocadherin gamma-A4,10625,NA,TurboID unique,NA,NA,NA
Bclaf1,BCLAF1,Q8K019,BCLF1_MOUSE,Bcl-2-associated transcription factor 1,10624,NA,TurboID unique,NA,NA,NA
Exoc8,EXOC8,Q6PGF7,EXOC8_MOUSE,Exocyst complex component 8,10620,NA,TurboID unique,NA,NA,NA
Scfd2,SCFD2,Q8BTY8,SCFD2_MOUSE,Sec1 family domain-containing protein 2,10619,NA,TurboID unique,NA,NA,NA
Prodh,PRODH,Q9WU79,PROD_MOUSE,"Proline dehydrogenase 1, mitochondrial",10618,NA,TurboID unique,NA,NA,NA
Tmx3,TMX3,Q8BXZ1,TMX3_MOUSE,Protein disulfide-isomerase TMX3,10615,NA,TurboID unique,NA,NA,NA
Sntb1,SNTB1,Q99L88,SNTB1_MOUSE,Beta-1-syntrophin,10597,NA,TurboID unique,NA,NA,NA
Igdcc4,IGDCC4,Q9EQS9,IGDC4_MOUSE,Immunoglobulin superfamily DCC subclass member 4,10591,NA,TurboID unique,NA,NA,NA
Bmpr2,BMPR2,O35607,BMPR2_MOUSE,Bone morphogenetic protein receptor type-2,10590,NA,TurboID unique,NA,NA,NA
Ipo7,IPO7,Q9EPL8,IPO7_MOUSE,Importin-7,10590,NA,TurboID unique,NA,NA,NA
Stau1,STAU1,Q9Z108,STAU1_MOUSE,Double-stranded RNA-binding protein Staufen homolog 1,10587,NA,TurboID unique,NA,NA,NA
Rragc,RRAGC,Q99K70,RRAGC_MOUSE,Ras-related GTP-binding protein C,10581,NA,TurboID unique,NA,NA,NA
Kcnj4,KCNJ4,P52189,KCNJ4_MOUSE,Inward rectifier potassium channel 4,10559,NA,TurboID unique,NA,NA,NA
Edc3,EDC3,Q8K2D3,EDC3_MOUSE,Enhancer of mRNA-decapping protein 3,10556,NA,TurboID unique,NA,NA,NA
Kalrn,KALRN,A2CG49,KALRN_MOUSE,Kalirin,10548,NA,TurboID unique,NA,NA,NA
Pex11b,PEX11B,Q9Z210,PX11B_MOUSE,Peroxisomal membrane protein 11B,10535,NA,TurboID unique,NA,NA,NA
Slc5a7,SLC5A7,Q8BGY9,SC5A7_MOUSE,High affinity choline transporter 1,10514,NA,TurboID unique,NA,NA,NA
Sort1,SORT1,Q6PHU5,SORT_MOUSE,Sortilin,10511,NA,TurboID unique,NA,NA,NA
Get3,NA,O54984,GET3_MOUSE,ATPase GET3,10507,NA,TurboID unique,NA,NA,NA
Akap1,AKAP1,O08715,AKAP1_MOUSE,"A-kinase anchor protein 1, mitochondrial",10471,NA,TurboID unique,NA,NA,NA
Timmdc1,TIMMDC1,Q8BUY5,TIDC1_MOUSE,"Complex I assembly factor TIMMDC1, mitochondrial",10470,NA,TurboID unique,NA,NA,NA
Dync1i2,DYNC1I2,O88487,DC1I2_MOUSE,Cytoplasmic dynein 1 intermediate chain 2,10468,NA,TurboID unique,NA,NA,NA
Trpm1,TRPM1,Q2TV84,TRPM1_MOUSE,Transient receptor potential cation channel subfamily M member 1,10465,NA,TurboID unique,NA,NA,NA
Tmem115,TMEM115,Q9WUH1,TM115_MOUSE,Transmembrane protein 115,10461,NA,TurboID unique,NA,NA,NA
Prkag2,PRKAG2,Q91WG5,AAKG2_MOUSE,5'-AMP-activated protein kinase subunit gamma-2,10457,NA,TurboID unique,NA,NA,NA
Spire1,SPIRE1,Q52KF3,SPIR1_MOUSE,Protein spire homolog 1,10436,NA,TurboID unique,NA,NA,NA
Ube2o,UBE2O,Q6ZPJ3,UBE2O_MOUSE,(E3-independent) E2 ubiquitin-conjugating enzyme UBE2O,10388,NA,TurboID unique,NA,NA,NA
Apbb1,APBB1,Q9QXJ1,APBB1_MOUSE,Amyloid-beta A4 precursor protein-binding family B member 1,10383,NA,TurboID unique,NA,NA,NA
Epn2,EPN2,Q8CHU3,EPN2_MOUSE,Epsin-2,10370,NA,TurboID unique,NA,NA,NA
Actr3b,ACTR3B,Q641P0,ARP3B_MOUSE,Actin-related protein 3B,10334,NA,TurboID unique,NA,NA,NA
Seh1l,SEH1L,Q8R2U0,SEH1_MOUSE,Nucleoporin SEH1,10332,NA,TurboID unique,NA,NA,NA
Cops3,COPS3,O88543,CSN3_MOUSE,COP9 signalosome complex subunit 3,10322,NA,TurboID unique,NA,NA,NA
Kpna3,KPNA3,O35344,IMA4_MOUSE,Importin subunit alpha-4,10316,NA,TurboID unique,NA,NA,NA
Ptpn4,PTPN4,Q9WU22,PTN4_MOUSE,Tyrosine-protein phosphatase non-receptor type 4,10314,NA,TurboID unique,NA,NA,NA
Fgb,FGB,Q8K0E8,FIBB_MOUSE,Fibrinogen beta chain,10311,NA,TurboID unique,NA,NA,NA
Clasp1,CLASP1,Q80TV8,CLAP1_MOUSE,CLIP-associating protein 1,10308,NA,TurboID unique,NA,NA,NA
Paip1,PAIP1,Q8VE62,PAIP1_MOUSE,Polyadenylate-binding protein-interacting protein 1,10298,NA,TurboID unique,NA,NA,NA
Polr2b,POLR2B,Q8CFI7,RPB2_MOUSE,DNA-directed RNA polymerase II subunit RPB2,10294,NA,TurboID unique,NA,NA,NA
Sptb,SPTB,P15508,SPTB1_MOUSE,"Spectrin beta chain, erythrocytic",10282,NA,TurboID unique,NA,NA,NA
Hdlbp,HDLBP,Q8VDJ3,VIGLN_MOUSE,Vigilin,10278,NA,TurboID unique,NA,NA,NA
Mrpl16,MRPL16,Q99N93,RM16_MOUSE,"39S ribosomal protein L16, mitochondrial",10277,NA,TurboID unique,NA,NA,NA
Spata5,SPATA5,Q3UMC0,AFG2H_MOUSE,ATPase family protein 2 homolog,10274,NA,TurboID unique,NA,NA,NA
Hcfc1,HCFC1,Q61191,HCFC1_MOUSE,Host cell factor 1,10271,NA,TurboID unique,NA,NA,NA
Pde10a,PDE10A,Q8CA95,PDE10_MOUSE,"cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A",10268,NA,TurboID unique,NA,NA,NA
Acot8,ACOT8,P58137,ACOT8_MOUSE,Acyl-coenzyme A thioesterase 8,10267,NA,TurboID unique,NA,NA,NA
Naa50,NAA50,Q6PGB6,NAA50_MOUSE,N-alpha-acetyltransferase 50,10266,NA,TurboID unique,NA,NA,NA
Ppp2r2a,PPP2R2A,Q6P1F6,2ABA_MOUSE,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform,10246,NA,TurboID unique,NA,NA,NA
Dhx36,DHX36,Q8VHK9,DHX36_MOUSE,ATP-dependent DNA/RNA helicase DHX36,10243,NA,TurboID unique,NA,NA,NA
Timm50,TIMM50,Q9D880,TIM50_MOUSE,Mitochondrial import inner membrane translocase subunit TIM50,10239,NA,TurboID unique,NA,NA,NA
Dab1,DAB1,P97318,DAB1_MOUSE,Disabled homolog 1,10236,NA,TurboID unique,NA,NA,NA
Frs3,FRS3,Q91WJ0,FRS3_MOUSE,Fibroblast growth factor receptor substrate 3,10230,NA,TurboID unique,NA,NA,NA
Tnrc6b,TNRC6B,Q8BKI2,TNR6B_MOUSE,Trinucleotide repeat-containing gene 6B protein,10229,NA,TurboID unique,NA,NA,NA
Tmem87a,TMEM87A,Q8BXN9,TM87A_MOUSE,Transmembrane protein 87A,10206,NA,TurboID unique,NA,NA,NA
Arap2,ARAP2,Q8BZ05,ARAP2_MOUSE,"Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 2",10206,NA,TurboID unique,NA,NA,NA
Zzef1,ZZEF1,Q5SSH7,ZZEF1_MOUSE,Zinc finger ZZ-type and EF-hand domain-containing protein 1,10178,NA,TurboID unique,NA,NA,NA
Rabggta,RABGGTA,Q9JHK4,PGTA_MOUSE,Geranylgeranyl transferase type-2 subunit alpha,10158,NA,TurboID unique,NA,NA,NA
Cntfr,CNTFR,O88507,CNTFR_MOUSE,Ciliary neurotrophic factor receptor subunit alpha,10156,NA,TurboID unique,NA,NA,NA
Trappc11,TRAPPC11,B2RXC1,TPC11_MOUSE,Trafficking protein particle complex subunit 11,10143,NA,TurboID unique,NA,NA,NA
Nup160,NUP160,Q9Z0W3,NU160_MOUSE,Nuclear pore complex protein Nup160,10133,NA,TurboID unique,NA,NA,NA
Atp7a,ATP7A,Q64430,ATP7A_MOUSE,Copper-transporting ATPase 1,10113,NA,TurboID unique,NA,NA,NA
Epb41,EPB41,P48193,EPB41_MOUSE,Protein 4.1,10096,NA,TurboID unique,NA,NA,NA
Sec11a,SEC11A,Q9R0P6,SC11A_MOUSE,Signal peptidase complex catalytic subunit SEC11A,10083,NA,TurboID unique,NA,NA,NA
Orai2,ORAI2,Q8BH10,ORAI2_MOUSE,Protein orai-2,10083,NA,TurboID unique,NA,NA,NA
Gnb4,GNB4,P29387,GBB4_MOUSE,Guanine nucleotide-binding protein subunit beta-4,10064,NA,TurboID unique,NA,NA,NA
Mtap,MTAP,Q9CQ65,MTAP_MOUSE,S-methyl-5'-thioadenosine phosphorylase,10049,NA,TurboID unique,NA,NA,NA
Abcc4,ABCC4,E9Q236,MRP4_MOUSE,ATP-binding cassette sub-family C member 4,10044,NA,TurboID unique,NA,NA,NA
Nlgn4l,NA,B0F2B4,NLGN4_MOUSE,Neuroligin 4-like,10031,NA,TurboID unique,NA,NA,NA
Sec16a,SEC16A,E9QAT4,SC16A_MOUSE,Protein transport protein Sec16A,10022,NA,TurboID unique,NA,NA,NA
Tmem132a,TMEM132A,Q922P8,T132A_MOUSE,Transmembrane protein 132A,10006,NA,TurboID unique,NA,NA,NA
Serac1,SERAC1,Q3U213,SRAC1_MOUSE,Protein SERAC1,9968,NA,TurboID unique,NA,NA,NA
Wdr18,WDR18,Q4VBE8,WDR18_MOUSE,WD repeat-containing protein 18,9963,NA,TurboID unique,NA,NA,NA
Pcdh8,PCDH8,Q7TSK3,PCDH8_MOUSE,Protocadherin-8,9963,NA,TurboID unique,NA,NA,NA
Xxylt1,XXYLT1,Q3U4G3,XXLT1_MOUSE,Xyloside xylosyltransferase 1,9956,NA,TurboID unique,NA,NA,NA
Ntrk3,NTRK3,Q6VNS1,NTRK3_MOUSE,NT-3 growth factor receptor,9949,NA,TurboID unique,NA,NA,NA
Hyou1,HYOU1,Q9JKR6,HYOU1_MOUSE,Hypoxia up-regulated protein 1,9908,NA,TurboID unique,NA,NA,NA
Slc16a7,SLC16A7,O70451,MOT2_MOUSE,Monocarboxylate transporter 2,9888,NA,TurboID unique,NA,NA,NA
Rbbp6,RBBP6,P97868,RBBP6_MOUSE,E3 ubiquitin-protein ligase RBBP6,9884,NA,TurboID unique,NA,NA,NA
Exoc3,EXOC3,Q6KAR6,EXOC3_MOUSE,Exocyst complex component 3,9866,NA,TurboID unique,NA,NA,NA
Anxa11,ANXA11,P97384,ANX11_MOUSE,Annexin A11,9851,NA,TurboID unique,NA,NA,NA
Daglb,DAGLB,Q91WC9,DGLB_MOUSE,Diacylglycerol lipase-beta,9845,NA,TurboID unique,NA,NA,NA
Cacnb4,CACNB4,Q8R0S4,CACB4_MOUSE,Voltage-dependent L-type calcium channel subunit beta-4,9841,NA,TurboID unique,NA,NA,NA
Bcar3,BCAR3,Q9QZK2,BCAR3_MOUSE,Breast cancer anti-estrogen resistance protein 3 homolog,9825,NA,TurboID unique,NA,NA,NA
Anks1a,NA,P59672,ANS1A_MOUSE,Ankyrin repeat and SAM domain-containing protein 1A,9806,NA,TurboID unique,NA,NA,NA
Brinp1,BRINP1,Q920P3,BRNP1_MOUSE,BMP/retinoic acid-inducible neural-specific protein 1,9805,NA,TurboID unique,NA,NA,NA
Atad3,NA,Q925I1,ATAD3_MOUSE,ATPase family AAA domain-containing protein 3,9795,NA,TurboID unique,NA,NA,NA
Tbc1d5,TBC1D5,Q80XQ2,TBCD5_MOUSE,TBC1 domain family member 5,9783,NA,TurboID unique,NA,NA,NA
Rab11fip2,RAB11FIP2,G3XA57,RFIP2_MOUSE,Rab11 family-interacting protein 2,9775,NA,TurboID unique,NA,NA,NA
Vps4a,VPS4A,Q8VEJ9,VPS4A_MOUSE,Vacuolar protein sorting-associated protein 4A,9773,NA,TurboID unique,NA,NA,NA
Gna12,GNA12,P27600,GNA12_MOUSE,Guanine nucleotide-binding protein subunit alpha-12,9743,NA,TurboID unique,NA,NA,NA
Rab2b,RAB2B,P59279,RAB2B_MOUSE,Ras-related protein Rab-2B,9734,NA,TurboID unique,NA,NA,NA
Bscl2,BSCL2,Q9Z2E9,BSCL2_MOUSE,Seipin,9730,NA,TurboID unique,NA,NA,NA
Arpc1b,ARPC1B,Q9WV32,ARC1B_MOUSE,Actin-related protein 2/3 complex subunit 1B,9728,NA,TurboID unique,NA,NA,NA
Mccc2,MCCC2,Q3ULD5,MCCB_MOUSE,"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial",9726,NA,TurboID unique,NA,NA,NA
Slc35e1,SLC35E1,Q8CD26,S35E1_MOUSE,Solute carrier family 35 member E1,9724,NA,TurboID unique,NA,NA,NA
Cmtm5,CMTM5,Q9D6G9,CKLF5_MOUSE,CKLF-like MARVEL transmembrane domain-containing protein 5,9721,NA,TurboID unique,NA,NA,NA
Scyl2,SCYL2,Q8CFE4,SCYL2_MOUSE,SCY1-like protein 2,9714,NA,TurboID unique,NA,NA,NA
Farsb,FARSB,Q9WUA2,SYFB_MOUSE,Phenylalanine--tRNA ligase beta subunit,9671,NA,TurboID unique,NA,NA,NA
Fam120c,FAM120C,Q8C3F2,F120C_MOUSE,Constitutive coactivator of PPAR-gamma-like protein 2,9669,NA,TurboID unique,NA,NA,NA
Dhrs7b,DHRS7B,Q99J47,DRS7B_MOUSE,Dehydrogenase/reductase SDR family member 7B,9661,NA,TurboID unique,NA,NA,NA
Yif1b,YIF1B,Q9CX30,YIF1B_MOUSE,Protein YIF1B,9645,NA,TurboID unique,NA,NA,NA
Mtrf1,MTRF1,Q8K126,RF1M_MOUSE,"Peptide chain release factor 1, mitochondrial",9636,NA,TurboID unique,NA,NA,NA
Pkn2,PKN2,Q8BWW9,PKN2_MOUSE,Serine/threonine-protein kinase N2,9631,NA,TurboID unique,NA,NA,NA
Ucp3,UCP3,P56501,UCP3_MOUSE,Mitochondrial uncoupling protein 3,9594,NA,TurboID unique,NA,NA,NA
Trim56,TRIM56,Q80VI1,TRI56_MOUSE,E3 ubiquitin-protein ligase TRIM56,9581,NA,TurboID unique,NA,NA,NA
Acbd3,ACBD3,Q8BMP6,GCP60_MOUSE,Golgi resident protein GCP60,9555,NA,TurboID unique,NA,NA,NA
Hnrnpab,HNRNPAB,Q99020,ROAA_MOUSE,Heterogeneous nuclear ribonucleoprotein A/B,9551,NA,TurboID unique,NA,NA,NA
Ap3m1,AP3M1,Q9JKC8,AP3M1_MOUSE,AP-3 complex subunit mu-1,9548,NA,TurboID unique,NA,NA,NA
Tmem106b,TMEM106B,Q80X71,T106B_MOUSE,Transmembrane protein 106B,9542,NA,TurboID unique,NA,NA,NA
Htt,HTT,P42859,HD_MOUSE,Huntingtin,9536,NA,TurboID unique,NA,NA,NA
Ptk2,PTK2,P34152,FAK1_MOUSE,Focal adhesion kinase 1,9535,NA,TurboID unique,NA,NA,NA
Wwox,WWOX,Q91WL8,WWOX_MOUSE,WW domain-containing oxidoreductase,9519,NA,TurboID unique,NA,NA,NA
Tmem67,TMEM67,Q8BR76,MKS3_MOUSE,Meckelin,9495,NA,TurboID unique,NA,NA,NA
Flnb,FLNB,Q80X90,FLNB_MOUSE,Filamin-B,9479,NA,TurboID unique,NA,NA,NA
Far1,FAR1,Q922J9,FACR1_MOUSE,Fatty acyl-CoA reductase 1,9469,NA,TurboID unique,NA,NA,NA
Lamc1,LAMC1,P02468,LAMC1_MOUSE,Laminin subunit gamma-1,9468,NA,TurboID unique,NA,NA,NA
Dgkq,DGKQ,Q6P5E8,DGKQ_MOUSE,Diacylglycerol kinase theta,9467,NA,TurboID unique,NA,NA,NA
Bmp2k,BMP2K,Q91Z96,BMP2K_MOUSE,BMP-2-inducible protein kinase,9453,NA,TurboID unique,NA,NA,NA
Tmpo,TMPO,Q61029,LAP2B_MOUSE,"Lamina-associated polypeptide 2, isoforms beta/delta/epsilon/gamma",9437,NA,TurboID unique,NA,NA,NA
Shisa4,SHISA4,Q8CA71,SHSA4_MOUSE,Protein shisa-4,9435,NA,TurboID unique,NA,NA,NA
Slitrk5,SLITRK5,Q810B7,SLIK5_MOUSE,SLIT and NTRK-like protein 5,9428,NA,TurboID unique,NA,NA,NA
Pom121,POM121,Q8K3Z9,PO121_MOUSE,Nuclear envelope pore membrane protein POM 121,9420,NA,TurboID unique,NA,NA,NA
Rabgap1l,RABGAP1L,A6H6A9,RBG1L_MOUSE,Rab GTPase-activating protein 1-like,9405,NA,TurboID unique,NA,NA,NA
Fbxo2,FBXO2,Q80UW2,FBX2_MOUSE,F-box only protein 2,9385,NA,TurboID unique,NA,NA,NA
Oat,OAT,P29758,OAT_MOUSE,"Ornithine aminotransferase, mitochondrial",9364,NA,TurboID unique,NA,NA,NA
Rbm14,RBM14,Q8C2Q3,RBM14_MOUSE,RNA-binding protein 14,9361,NA,TurboID unique,NA,NA,NA
Lemd3,LEMD3,Q9WU40,MAN1_MOUSE,Inner nuclear membrane protein Man1,9355,NA,TurboID unique,NA,NA,NA
Nadk2,NADK2,Q8C5H8,NAKD2_MOUSE,"NAD kinase 2, mitochondrial",9343,NA,TurboID unique,NA,NA,NA
Gpd1,GPD1,P13707,GPDA_MOUSE,"Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic",9343,NA,TurboID unique,NA,NA,NA
Hcn3,HCN3,O88705,HCN3_MOUSE,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 3,9340,NA,TurboID unique,NA,NA,NA
Celf2,CELF2,Q9Z0H4,CELF2_MOUSE,CUGBP Elav-like family member 2,9336,NA,TurboID unique,NA,NA,NA
Hapln4,HAPLN4,Q80WM4,HPLN4_MOUSE,Hyaluronan and proteoglycan link protein 4,9336,NA,TurboID unique,NA,NA,NA
Rdh14,RDH14,Q9ERI6,RDH14_MOUSE,Retinol dehydrogenase 14,9321,NA,TurboID unique,NA,NA,NA
Lrsam1,LRSAM1,Q80ZI6,LRSM1_MOUSE,E3 ubiquitin-protein ligase LRSAM1,9319,NA,TurboID unique,NA,NA,NA
Ptpn13,PTPN13,Q64512,PTN13_MOUSE,Tyrosine-protein phosphatase non-receptor type 13,9319,NA,TurboID unique,NA,NA,NA
Nmt2,NMT2,O70311,NMT2_MOUSE,Glycylpeptide N-tetradecanoyltransferase 2,9317,NA,TurboID unique,NA,NA,NA
Sipa1,SIPA1,P46062,SIPA1_MOUSE,Signal-induced proliferation-associated protein 1,9309,NA,TurboID unique,NA,NA,NA
Wdr45b,WDR45B,Q9CR39,WIPI3_MOUSE,WD repeat domain phosphoinositide-interacting protein 3,9307,NA,TurboID unique,NA,NA,NA
Slc16a3,SLC16A3,P57787,MOT4_MOUSE,Monocarboxylate transporter 4,9306,NA,TurboID unique,NA,NA,NA
Tmem175,TMEM175,Q9CXY1,TM175_MOUSE,Endosomal/lysosomal potassium channel TMEM175,9304,NA,TurboID unique,NA,NA,NA
Pdap1,PDAP1,Q3UHX2,HAP28_MOUSE,28 kDa heat- and acid-stable phosphoprotein,9301,NA,TurboID unique,NA,NA,NA
Ubr4,UBR4,A2AN08,UBR4_MOUSE,E3 ubiquitin-protein ligase UBR4,9298,NA,TurboID unique,NA,NA,NA
Dgkg,DGKG,Q91WG7,DGKG_MOUSE,Diacylglycerol kinase gamma,9297,NA,TurboID unique,NA,NA,NA
Macroh2a2,NA,Q8CCK0,H2AW_MOUSE,Core histone macro-H2A.2,9296,NA,TurboID unique,NA,NA,NA
Olfm3,OLFM3,P63056,NOE3_MOUSE,Noelin-3,9290,NA,TurboID unique,NA,NA,NA
Ptprn2,PTPRN2,P80560,PTPR2_MOUSE,Receptor-type tyrosine-protein phosphatase N2,9287,NA,TurboID unique,NA,NA,NA
Eif3g,EIF3G,Q9Z1D1,EIF3G_MOUSE,Eukaryotic translation initiation factor 3 subunit G,9286,NA,TurboID unique,NA,NA,NA
Ppib,PPIB,P24369,PPIB_MOUSE,Peptidyl-prolyl cis-trans isomerase B,9271,NA,TurboID unique,NA,NA,NA
Cep170,CEP170,Q6A065,CE170_MOUSE,Centrosomal protein of 170 kDa,9270,NA,TurboID unique,NA,NA,NA
Lgi4,LGI4,Q8K1S1,LGI4_MOUSE,Leucine-rich repeat LGI family member 4,9266,NA,TurboID unique,NA,NA,NA
Stard3nl,STARD3NL,Q9DCI3,STR3N_MOUSE,STARD3 N-terminal-like protein,9255,NA,TurboID unique,NA,NA,NA
Epha5,EPHA5,Q60629,EPHA5_MOUSE,Ephrin type-A receptor 5,9243,NA,TurboID unique,NA,NA,NA
Dtnb,DTNB,O70585,DTNB_MOUSE,Dystrobrevin beta,9239,NA,TurboID unique,NA,NA,NA
Cpne2,CPNE2,P59108,CPNE2_MOUSE,Copine-2,9222,NA,TurboID unique,NA,NA,NA
Nfix,NFIX,P70257,NFIX_MOUSE,Nuclear factor 1 X-type,9219,NA,TurboID unique,NA,NA,NA
Sorcs3,SORCS3,Q8VI51,SORC3_MOUSE,VPS10 domain-containing receptor SorCS3,9212,NA,TurboID unique,NA,NA,NA
Kyat3,KYAT3,Q71RI9,KAT3_MOUSE,Kynurenine--oxoglutarate transaminase 3,9202,NA,TurboID unique,NA,NA,NA
Pikfyve,PIKFYVE,Q9Z1T6,FYV1_MOUSE,1-phosphatidylinositol 3-phosphate 5-kinase,9198,NA,TurboID unique,NA,NA,NA
Sik3,SIK3,Q6P4S6,SIK3_MOUSE,Serine/threonine-protein kinase SIK3,9194,NA,TurboID unique,NA,NA,NA
Peak1,PEAK1,Q69Z38,PEAK1_MOUSE,Inactive tyrosine-protein kinase PEAK1,9192,NA,TurboID unique,NA,NA,NA
Ly6h,LY6H,Q9WUC3,LY6H_MOUSE,Lymphocyte antigen 6H,9189,NA,TurboID unique,NA,NA,NA
Rap1gap,RAP1GAP,A2ALS5,RPGP1_MOUSE,Rap1 GTPase-activating protein 1,9185,NA,TurboID unique,NA,NA,NA
Pip4p2,NA,Q9CZX7,PP4P2_MOUSE,"Type 2 phosphatidylinositol 4,5-bisphosphate 4-phosphatase",9181,NA,TurboID unique,NA,NA,NA
